"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"sample_type","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick"
"predator_id","D.vil","D.vil","G.zad","G.zad","D.vil","D.vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB"
"time","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Asplanchna_sieboldi","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Batrachospermum_gelatinosum","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bothrioneurum_vejdovskyanum","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"Chaetogaster_diastrophus","0","0","1","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0"
"Chironomidae","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","414"," 16","385"," 43"," 39"," 35"
"Chironomus_luridus","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chironomus_sp._BOLD:AAI4299","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chydorus_brevilabris","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Corophium_multisetosum","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cricotopus","0","0","0","0","1","0","4","0","1","1","0","0","0","0","0","0","0","0"
"Cricotopus_laricomalis","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0"
"Daphnia","0","0","0","0","1","0","5","2","1","0","1","0","0","0","0","0","0","0"
"Dreissena_polymorpha","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  1","  0","  4","  2","  0","  5","154"
"Euchlanis_dilatata","0","0","3","0","0","0","0","0","1","4","1","2","0","0","0","0","0","0"
"Gammarus_tigrinus","4","0","0","0","6","0","0","0","0","0","0","0","6","0","0","0","0","0"
"Gammarus_zaddachi"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","70","32"," 0"," 0"
"Hydra","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Hydra_oligactis"," 0"," 0","20"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"Lype_phaeopa","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polyphemus_pediculus","0","0","0","0","2","0","4","0","1","0","0","1","0","0","0","0","0","0"
"Radix_auricularia","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stenostomum_sthenum","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Stylaria_lacustris","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Tubifex_tubifex","0","4","0","0","0","0","1","3","0","0","0","1","0","0","0","0","0","0"
"Crangonyx"," 0"," 1","33","15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Allolobophora_chlorotica","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Culicoides_kibunensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Limnodrilus_hoffmeisteri","0","1","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","0"
"Physella_acuta","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"Platynothrus_peltifer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Potamothrix_moldaviensis","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"Sida_crystallina","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanytarsus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanytarsus_medius","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xenylla","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Acanthocyclops_robustus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Brachionus","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"Brachionus_angularis","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"Brachionus_calyciflorus","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Chaetogaster_diaphanus","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0"
"Chaetonotus_sp._bor_MK-2018","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0"
"Chironomus","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0"
"Chironomus_nuditarsis","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Cloeon_dipterum","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"Cochliopodium","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
