"","Asplanchna_sieboldi","Batrachospermum_gelatinosum","Bothrioneurum_vejdovskyanum","Chaetogaster_diastrophus","Chironomidae","Chironomus_luridus","Chironomus_sp._BOLD:AAI4299","Chydorus_brevilabris","Corophium_multisetosum","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus","Cricotopus_laricomalis","Cyclopidae","Daphnia","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Euchlanis_dilatata","Gammarus_tigrinus","Gammarus_zaddachi","Harmonia_axyridis","Hydra","Hydra_oligactis","Lype_phaeopa","Osmia_bicornis","Polyphemus_pediculus","Radix_auricularia","Stenostomum_sthenum","Stylaria_lacustris","Tubifex_tubifex","time","Crangonyx","Hydra_circumcincta","Leptodora_kindtii","Oxyethira_flavicornis","Physella_acuta","Podocopida","Porcellio_scaber","Potamothrix_moldaviensis","Sargus_bipunctatus","Stempellina_bausei","Stempellinella_edwardsi","Tydeidae","samples_id","site"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR8","GWR"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999869505643881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR7","GWR"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR6","GWR"
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR5","GWR"
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999921015217735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR4","GWR"
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999957008970795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR3","GWR"
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR2","GWR"
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999920796261584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR1","GWR"
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99995674927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR16","GWR"
"34",0,0,0,0,0,0,0,0,0,0,0,0,0.011626640527147,0,0,0.988237216141153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR15","GWR"
"35",0,0,0,0,0,0.00399508297480025,0,0,0,0,0,0,0,0,0,0.9960049170252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR14","GWR"
"36",0,0,0,0,0,0,0,0,0,0,0,0,0.000453323835119645,0,0,0.999384774795195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR13","GWR"
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999911254681316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR12","GWR"
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR11","GWR"
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR10","GWR"
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999923652466025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR9","GWR"
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999970070185415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR24","GWR"
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR23","GWR"
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998800959232614,0.000885006280689734,0.000314034486696357,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR22","GWR"
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999936326010825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR21","GWR"
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999921655881293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR20","GWR"
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999845569385675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR19","GWR"
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR18","GWR"
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998458574181117,0,0,0,0.00154142581888247,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GWR17","GWR"
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW201","GW"
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999893405343945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW197","GW"
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW106","GW"
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW105","GW"
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999762308998302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW104","GW"
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW103","GW"
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW102","GW"
"56",0,0,0,0,0,0,0,0,0,0,0,0,0.00164648201675753,0,0,0.998353517983242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW101","GW"
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW209","GW"
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW208","GW"
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW207","GW"
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW206","GW"
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99984704022842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW205","GW"
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW204","GW"
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW203","GW"
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999631743693611,0,0,0,0.000368256306389247,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW202","GW"
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW401","GW"
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW216","GW"
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW215","GW"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW214","GW"
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW213","GW"
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999442586399108,0.000504326591283113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW212","GW"
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW211","GW"
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999891628285018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW210","GW"
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664064560367108,0,0,0,0.933593543963289,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW405","GW"
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996143910748381,0,0,0,0.00385608925161918,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW404","GW"
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997018970189702,0,0,0,0.0029810298102981,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW403","GW"
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366138613861386,0,0,0,0.963386138613861,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"GW402","GW"
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99939008451686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW101","GW"
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999205136044023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW102","GW"
"181",0,0,0,0,0,0,0,0,0,0.830873554048664,0,0,0,0,0,0.169126445951336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW103","GW"
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999726558615889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW104","GW"
"183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999785120415214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW105","GW"
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999497739829232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW106","GW"
"185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999319466741118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW107","GW"
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876060620923047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123865809995586,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW108","GW"
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99978221415608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW109","GW"
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999389512241332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW110","GW"
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999790580301983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW111","GW"
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999814746202297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW201","GW"
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999820711417097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW202","GW"
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999923403929378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW203","GW"
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992381373881706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761862611829419,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW204","GW"
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW205","GW"
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW206","GW"
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW207","GW"
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998640639443206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW208","GW"
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999609847450353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW209","GW"
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999733161370661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW210","GW"
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999792692407359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW211","GW"
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999867737988956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW212","GW"
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99974621704787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW213","GW"
"203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999737684276796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW214","GW"
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998699733603958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW215","GW"
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707233528107999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29267692032149,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW401","GW"
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99626310772164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct",0,0,0,0,0,0,0,0,0,0,0,0,"GW402","GW"
