"","Asplanchna_sieboldi","Batrachospermum_gelatinosum","Bothrioneurum_vejdovskyanum","Chaetogaster_diastrophus","Chironomidae","Chironomus_luridus","Chironomus_sp._BOLD:AAI4299","Chydorus_brevilabris","Corophium_multisetosum","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus","Cricotopus_laricomalis","Cyclopidae","Daphnia","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Euchlanis_dilatata","Gammarus_tigrinus","Gammarus_zaddachi","Harmonia_axyridis","Hydra","Hydra_oligactis","Lype_phaeopa","Osmia_bicornis","Polyphemus_pediculus","Radix_auricularia","Stenostomum_sthenum","Stylaria_lacustris","Tubifex_tubifex","time","Crangonyx","Hydra_circumcincta","Leptodora_kindtii","Oxyethira_flavicornis","Physella_acuta","Podocopida","Porcellio_scaber","Potamothrix_moldaviensis","Sargus_bipunctatus","Stempellina_bausei","Stempellinella_edwardsi","Tydeidae","samples_id","site"
"121",0,0,0,0,0,0,0,0,0,0.0137741046831956,0,0,0,0,0,0,0,0,0,0,0.986225895316804,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB518","RB"
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999719204268095,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB517","RB"
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999660435020468,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB516","RB"
"124",0,0,0,0,0,0,0,0,0.0465116279069767,0,0.0232558139534884,0,0,0,0,0.0232558139534884,0,0,0,0,0.851162790697674,0,0,0.0558139534883721,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB515","RB"
"125",0,0,0,0,0,0,0,0,0,0.0100468854655057,0.00200937709310114,0,0,0,0,0,0,0,0,0,0.931681178834561,0,0,0.0562625586068319,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB514","RB"
"126",0,0,0,0,0,0,0,0,0,0,0.00449897750511247,0,0,0,0,0,0.0016359918200409,0,0,0,0.993865030674847,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB513","RB"
"127",0,0,0,0,0,0,0,0,0,0.0182767624020888,0.00391644908616188,0,0,0,0,0,0,0,0,0,0.977806788511749,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB512","RB"
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB511","RB"
"129",0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0.785714285714286,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB526","RB"
"130",0,0,0,0,0,0,0,0,0,0.00867052023121387,0.0202312138728324,0,0,0,0,0.00578034682080925,0,0,0,0,0.965317919075145,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB525","RB"
"131",0,0,0,0,0,0,0,0,0,0,0.0197628458498024,0,0,0,0,0,0,0,0,0,0.774703557312253,0,0.0256916996047431,0.179841897233202,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB524","RB"
"132",0,0,0,0,0,0,0,0,0.0177514792899408,0,0.0532544378698225,0,0,0,0,0,0,0,0,0,0.928994082840237,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB523","RB"
"133",0,0,0,0,0,0,0,0,0,0.160377358490566,0,0,0,0,0,0,0,0,0.0377358490566038,0,0.669811320754717,0,0,0.132075471698113,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB522","RB"
"134",0,0,0,0,0,0,0,0,0,0,0.0178217821782178,0,0,0,0,0,0,0,0,0,0.978217821782178,0,0,0.00396039603960396,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB521","RB"
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996719518862767,0,0,0.00313379295630026,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB520","RB"
"136",0,0,0,0,0,0,0,0,0,0.032258064516129,0.021505376344086,0,0,0,0,0,0,0,0,0,0.946236559139785,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB519","RB"
"137",0,0,0,0,0,0,0,0,0,0.0213414634146341,0.0152439024390244,0,0,0,0,0,0,0,0,0,0.963414634146341,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB533","RB"
"138",0,0,0,0,0,0,0,0,0,0,0.00558035714285714,0,0,0,0,0,0,0,0,0,0.994419642857143,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB532","RB"
"139",0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0.0263157894736842,0,0,0,0,0.921052631578947,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB531","RB"
"140",0,0,0,0,0,0,0,0,0,0.204081632653061,0,0,0,0,0,0,0,0,0,0,0.795918367346939,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB530","RB"
"141",0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0.985714285714286,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"RB529","RB"
