"","Asplanchna_sieboldi","Batrachospermum_gelatinosum","Bothrioneurum_vejdovskyanum","Chaetogaster_diastrophus","Chironomidae","Chironomus_luridus","Chironomus_sp._BOLD:AAI4299","Chydorus_brevilabris","Corophium_multisetosum","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus","Cricotopus_laricomalis","Cyclopidae","Daphnia","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Euchlanis_dilatata","Gammarus_tigrinus","Gammarus_zaddachi","Harmonia_axyridis","Hydra","Hydra_oligactis","Lype_phaeopa","Osmia_bicornis","Polyphemus_pediculus","Radix_auricularia","Stenostomum_sthenum","Stylaria_lacustris","Tubifex_tubifex","time","Crangonyx","Hydra_circumcincta","Leptodora_kindtii","Oxyethira_flavicornis","Physella_acuta","Podocopida","Porcellio_scaber","Potamothrix_moldaviensis","Sargus_bipunctatus","Stempellina_bausei","Stempellinella_edwardsi","Tydeidae","samples_id","site"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB304","WB"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB303","WB"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB302","WB"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB301","WB"
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99791492910759,0,0,0,0.00208507089241034,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB213","WB"
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999574323173846,0,0.000425676826153584,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB212","WB"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997891407485503,0,0.00210859251449657,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB211","WB"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997436554729557,0,0,0,0.00256344527044348,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB210","WB"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB312","WB"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB311","WB"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB310","WB"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB309","WB"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB308","WB"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May",0,0,0,0,0,0,0,0,0,0,0,0,"WB307","WB"
