site,temp,,,pH,,,cond(uS),,,time
GW1,16,16,16,8.6,8.6,8.6,854,852,852,Oct
GW2,15.9,16,16,8.3,8.5,8.6,858,855,856,Oct
GW3,15.6,15.7,15.5,8.3,8.4,8.4,866,867,866,Oct
GW4,15.7,15.7,15.7,8.5,8.5,8.5,860,862,860,Oct
GW5,16,16,16,8.5,8.6,8.6,854,853,855,Oct
GW6,16,15.9,15.9,8.4,8.5,8.5,845,845,849,Oct
RB1,14.7,14.6,14.6,7.7,7.6,7.4,310,320,360,Oct
RB2,15,15,15,7.8,7.8,7.7,890,890,900,Oct
RB3,15,15,15,7.8,7.9,7.9,910,900,910,Oct
RB4,13.1,13.1,13.2,8.1,8,7.9,920,910,910,Oct
RB5,14.3,14.4,14.4,7.8,7.7,7.8,900,910,900,Oct
RB6,14.7,14.8,14.8,8,7.9,7.9,910,910,900,Oct
WB1,14.1,14.1,14.2,8.1,8,8,780,780,790,Oct
WB2,14.1,14.2,14.2,7.1,7.1,7.2,780,770,780,Oct
WB3,14,14.2,14.1,8,7.9,8.1,780,770,790,Oct
WB4,14.4,14.3,14.3,8.1,8.3,8.1,760,780,760,Oct
WB5,14.1,14.1,14.1,8.1,8.1,8.3,780,770,780,Oct
WB6,14.2,14.2,14.2,8.1,8.1,8.1,780,780,780,Oct
