TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	GENUS	SPECIES	NUMBERS
GW101	16/05/2017	GW	1	Diptera	Chironomidae			134
GW102	16/05/2017	GW	1	Isopoda	Asellidae	Asellus	aquaticus	9
GW103	16/05/2017	GW	1	Amphipoda	Gammaridae	Dikerogammarus	villosus	6
GW106	16/05/2017	GW	1	Diptera	Nematocera	pupa		1
GW107	16/05/2017	GW	1	Oligochaeta	Tubificidae			16
GW108	16/05/2017	GW	1	Diptera	Tipulidae			1
GW109	16/05/2017	GW	1	Amphipoda	Crangonydae	Crangonyx	pseudogracilis	2
GW201	16/05/2017	GW	2	Diptera	Chironomidae			43
GW202	16/05/2017	GW	2	Amphipoda	Gammaridae	Dikerogammarus	villosus	3
GW204	16/05/2017	GW	2	Mollusca	Valvatidae	Valvata	piscinalis	3
GW205	16/05/2017	GW	2	Mollusca	Bithyniidae	Bithynia	tentaculata	1
GW206	16/05/2017	GW	2	Mollusca	Planorbidae	Planorbis	vortex	1
GW207	16/05/2017	GW	2	Mollusca	Lymnaeidae	Lymnea	auricolaria	1
GW207	16/05/2017	GW	2	Mollusca	Lymnaeidae	Lymnea	truncatula	1
GW209	16/05/2017	GW	2	Ephemeroptera	Caenidae	Caenis	robusta	1
GW210	16/05/2017	GW	2	Diptera	Nematocera	pupa		2
GW211	16/05/2017	GW	2	Coleoptera				3
GW212	16/05/2017	GW	2	Mollusca	Pisididae	Pisidium	sp.	2
GW213	16/05/2017	GW	2	Oligochaeta	Tubificidae			20
GW214	16/05/2017	GW	2	Diptera	Tipulidae			1
GW301	16/05/2017	GW	3	Diptera	Chironomidae			136
GW302	16/05/2017	GW	3	Amphipoda	Gammaridae	Dikerogammarus	villosus	2
GW303	16/05/2017	GW	3	Hemiptera	Corixidae			4
GW304	16/05/2017	GW	3	Oligochaeta	Tubificidae			44
GW305	16/05/2017	GW	3	Cladocera	Chydoridae	Eurycercus	spp.	35
GW306	16/05/2017	GW	3	Coleoptera	Dytiscidae			1
GW307	16/05/2017	GW	3	Coleoptera				1
GW308	16/05/2017	GW	3	Mollusca	Lymnaeidae	Lymnea	sp.	1
GW308	16/05/2017	GW	3	Mollusca	Valvatidae	Valvata	piscinalis	1
GW309	16/05/2017	GW	3	Ostracoda				28
GW310	16/05/2017	GW	3	Diptera	Nematocera	pupa		3
GW311	16/05/2017	GW	3	Trichoptera	Leptoceridae			1
GW313	16/05/2017	GW	3	Diptera	Dolichopodidae			1
GW313	16/05/2017	GW	3	Diptera	Tipulidae			1
GW314	16/05/2017	GW	3	Hirudinea	Glossiphonidae	Helobdella	sp.	1
GW315	16/05/2017	GW	3	Amphipoda	Gammaridae	Gammarus	tigrinus	2
GW316	16/05/2017	GW	3	Amphipoda	Gammaridae	Gammarus	sp.	1
GW401	16/05/2017	GW	4	Amphipoda	Gammaridae	Dikerogammarus	villosus	1
GW402	16/05/2017	GW	4	Diptera	Chironomidae			101
GW403	16/05/2017	GW	4	Oligochaeta	Tubificidae			10
GW404	16/05/2017	GW	4	Diptera	Nematocera	pupa		3
GW405	16/05/2017	GW	4	Amphipoda	Gammaridae	Gammarus	tigrinus	4
GW406	16/05/2017	GW	4	Ostracoda				1
GW406	16/05/2017	GW	4	Cladocera	Chydoridae	Eurycercus	spp.	1
