TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	TAXA	NUMBERS
GW101	02/10/2017	GW		Mollusca	Dreissenidae	Dreissena_polymorpha	4
GW102	02/10/2017	GW		Mollusca	Physiidae	Physa_acuta	14
GW103	02/10/2017	GW		Mollusca	Hydrobiidae	Potamopyrgus_jenkinsi	2
GW104	02/10/2017	GW		Diptera	Chironomidae	Chironomidae	5
GW105	02/10/2017	GW		Mollusca	Lymnaeidae	Radix_balthica	3
GW106	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	12
GW108	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	3
GW109	02/10/2017	GW		Crustacea	Gammaridae	Gammarus_spp.	50
GW110	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_spp.	24
GW111	02/10/2017	GW		Mollusca	Vlvatidae	Valvata_piscinalis	1
GW112	02/10/2017	GW		Mollusca	Hydrobiidae	Bithynia_spp.	2
GW113	02/10/2017	GW		Hirudinea	Glossiphonidae	Helobdella_stagnalis	1
GW201	02/10/2017	GW		Diptera	Chironomidae	Chironomidae	8
GW202	02/10/2017	GW		Crustacea	Asellidae	Asellus_aquaticus	7
GW203	02/10/2017	GW		Hirudinea	Glossiphonidae	Helobdella_stagnalis	9
GW204	02/10/2017	GW		Hirudinea	Glossiphonidae	Glossiphonia_complanata	3
GW205	02/10/2017	GW		Mollusca	Physiidae	Physa_acuta	24
GW206	02/10/2017	GW		Mollusca	Hydrobiidae	Potamopyrgus_jenkinsi	12
GW207	02/10/2017	GW		Mollusca	Lymnaeidae	Lymnea_sp.	4
GW208	02/10/2017	GW		Mollusca	Hydrobiidae	Bithynia_tentaculata	8
GW209	02/10/2017	GW		Hemiptera	Corixidae	Corixidae	2
GW210	02/10/2017	GW		Hydracarina	Limnesiidae	Limnesia_sp.	1
GW211	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	59
GW212	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	50
GW213	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	52
GW214	02/10/2017	GW		Crustacea	Gammaridae	Gammarus_sp.	16
GW301	02/10/2017	GW		Hirudinea	Glossiphonidae	Helobdella_stagnalis	14
GW302	02/10/2017	GW		Hemiptera	Corixidae	Corixidae	21
GW303	02/10/2017	GW		Hirudinea	Glossiphonidae	Glossiphonia_complanata	1
GW304	02/10/2017	GW		Diptera	Chironomidae	Chironomidae	3
GW305	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	232
GW314	02/10/2017	GW		Mollusca	Physiidae	Physa_acuta	2
GW315	02/10/2017	GW		Zygoptera	Coenagrionidae	Coenagrionidae	2
GW316	02/10/2017	GW		Crustacea	Asellidae	Asellus_aquaticus	1
GW317	02/10/2017	GW		Coleoptera	Haliplidae	Haliplidae	1
GW318	02/10/2017	GW		Diptera	Ceratopogonidae	Ceratopogonidae	1
GW319	02/10/2017	GW		Mollusca	Hydrobiidae	Potamopyrgus_jenkinsi	6
GW320	02/10/2017	GW		Crustacea	Gammaridae	Gammarus_sp.	2
GW321	02/10/2017	GW		Mollusca	Lymnaeidae	Lymnea_sp.	2
GW322	02/10/2017	GW		Oligochaeta	Oligochaeta	Oligochaeta	3
GW401	02/10/2017	GW		Coleoptera	Haliplidae	Haliplidae	1
GW402	02/10/2017	GW		Mollusca	Lymnaeidae	Radix_balthica	1
GW403	02/10/2017	GW		Mollusca	Physiidae	Physa_acuta	5
GW404	02/10/2017	GW		Mollusca	Hydrobiidae	Potamopyrgus_jenkinsi	3
GW405	02/10/2017	GW		Mollusca	Lymnaeidae	Lymnaeidae	1
GW406	02/10/2017	GW		Nematoda	Nematoda	Nematoda	5
GW407	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	77
GW410	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_sp.	4
GW411	02/10/2017	GW		Hemiptera	Corixidae	Corixidae	1
GW601	02/10/2017	GW		Mollusca	Physiidae	Physa_acuta	2
GW602	02/10/2017	GW		Mollusca	Lymnaeidae	Lymnea_sp.	1
GW603	02/10/2017	GW		Oligochaeta	Oligochaeta	Oligochaeta	1
GW604	02/10/2017	GW		Hirudinea	Erpobdellidae	Erpobdella_sp.	1
GW605	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_sp.	17
GW606	02/10/2017	GW		Crustacea	Gammaridae	Dikerogammarus_villosus	316
