TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	GENUS	SPECIES	NUMBERS
RB101	18/05/2017	RB	1	Ephemeroptera	Caenidae	Caenis	robusta	1
RB102	18/05/2017	RB	1	Hemiptera	Corixidae			3
RB103	18/05/2017	RB	1	Diptera	Chironomidae			69
RB104	18/05/2017	RB	1	Mollusca	Unionidae	Unio	pictorum	1
RB106	18/05/2017	RB	1	Zygoptera	Coenagrionidae			1
RB107	18/05/2017	RB	1	Zygoptera	indet.			1
RB108	18/05/2017	RB	1	Crustacea	Corophidae	Corophium	sp.	1
RB109	18/05/2017	RB	1	Crustacea	Asellidae	Asellus	aquaticus	1
RB110	18/05/2017	RB	1	Crustacea	Gammaridae	Gammarus	zaddachi	8
RB111	18/05/2017	RB	1	Crustacea	Gammaridae	Gammarus	sp.	4
RB112	18/05/2017	RB	1	Crustacea	Corophidae	Chelicorphium	curvispinum	1
RB201	18/05/2017	RB	2	Diptera	Chironomidae			108
RB202	18/05/2017	RB	2	Hydracarina	Limnesiidae	Limnesia	sp.	3
RB203	18/05/2017	RB	2	Crustacea	Corophidae	Corophium	curvispinum	6
RB204	18/05/2017	RB	2	Crustacea	Gammaridae	Gammarus	zaddachi	2
RB205	18/05/2017	RB	2	Crustacea	Corophidae	Corophium	sp.	1
RB206	18/05/2017	RB	2	Hemiptera	Corixidae			1
RB207	18/05/2017	RB	2	Trichoptera	Leptoceridae	Oecetis	lacustris	1
RB208	18/05/2017	RB	2	Mollusca	Sphaeridae	Pisidium	sp.	1
RB209	18/05/2017	RB	2	Mollusca	Valvatidae			1
RB210	18/05/2017	RB	2	Mollusca		Valvata	piscinalis	1
RB301	18/05/2017	RB	3	Zygoptera	Coenagrionidae			3
RB302	18/05/2017	RB	3	Trichoptera	Ecnomidae	Ecnomus	tenellus	2
RB303	18/05/2017	RB	3	Diptera	Chironomidae			70
RB304	18/05/2017	RB	3	Crustacea	Gammaridae	Gammarus	zaddachi	32
RB305	18/05/2017	RB	3	Crustacea	Corophidae	Corophium	curvispinum	33
RB306	18/05/2017	RB	3	Crustacea	Corophidae	Corophium	curvispinum	28
RB307	18/05/2017	RB	3	Hydracarina	Limnesiidae	Limnesia	sp.	1
RB308	18/05/2017	RB	3	Mollusca	Lymnaeidae			1
RB309	18/05/2017	RB	3	Mollusca	indet.			2
RB310	18/05/2017	RB	3	Trichoptera	Leptoceridae	Oecetis	sp.	1
RB311	18/05/2017	RB	3	Trichoptera	Leptoceridae	Ceraclea	senilis	1
RB312	18/05/2017	RB	3	Nematoda				1
RB313	18/05/2017	RB	3	Mollusca	Bithyniidae			12
RB314	18/05/2017	RB	3	Mollusca	Dreissenidae	Dreissena	polymorpha	2
RB315	18/05/2017	RB	3	Mollusca	Lymnaeidae	Lymnea	stagnalis	3
RB316	18/05/2017	RB	3	Mollusca	Neritidae	Theodoxus	fluviatilis	13
RB317	18/05/2017	RB	3	Mollusca	Bithyniidae	Bithynia	tentaculata	6
RB318	18/05/2017	RB	3	Mollusca	Sphaeridae	Pisidium	sp.	10
RB401	18/05/2017	RB	4	Crustacea	Asellidae	Asellus	aquaticus	3
RB402	18/05/2017	RB	4	Crustacea	Gammaridae	Gammarus	zaddachi	2
RB403	18/05/2017	RB	4	Zygoptera	Coenagrionidae			2
RB404	18/05/2017	RB	4	Mollusca	Sphaeridae	Pisidium	sp.	13
RB405	18/05/2017	RB	4	Mollusca	Planorbidae	Planorbis	contortus	2
RB405-B	18/05/2017	RB	4	Mollusca	Planorbidae	Segmentina	sp.	1
RB406	18/05/2017	RB	4	Mollusca	Hydrobiidae	Potamopyrgus	jenkinsi	1
RB407	18/05/2017	RB	4	Hirudinea	Glossiphonidae	Helobdella	stagnalis	3
RB408	18/05/2017	RB	4	Hirudinea	Glossiphonidae	Glossiphonia	heteroclita	1
RB409	18/05/2017	RB	4	Diptera	Chironomidae			124
RB410	18/05/2017	RB	4	Coleoptera	Elmidae	Limnius	sp.	1
RB501	18/05/2017	RB	5	Crustacea	Corophidae	Corophium	sp.	1
RB502	18/05/2017	RB	5	Crustacea	Gammaridae	Gammarus	zaddachi	16
RB503	18/05/2017	RB	5	Crustacea	Corophidae	Corophium	curvispinum	1
RB504	18/05/2017	RB	5	Crustacea	Asellidae	Asellus	aquaticus	1
RB505	18/05/2017	RB	5	Mollusca	Valvatidae	Valvata	piscinalis	1
RB506	18/05/2017	RB	5	Mollusca	Lymnaeidae	Lymnaea	truncatula	1
RB507	18/05/2017	RB	5	Coleoptera	Haliplidae			3
RB508	18/05/2017	RB	5	Diptera	Chironomidae			13
RB509	18/05/2017	RB	5	Trichoptera	Leptoceridae	Ecnomus	sp.	1
RB510	18/05/2017	RB	5	Mollusca	Neritidae	Theodoxus	fluviatilis	1
RB511	18/05/2017	RB	5	Mollusca	Lymnaeidae	Lymnaea	auricolaria	2
RB512	18/05/2017	RB	5	Mollusca	Planorbidae	Planorbis	contortus	1
RB513	18/05/2017	RB	5	Mollusca	Hydrobiidae	Bithynia	sp.	17
RB514	18/05/2017	RB	5	Hemiptera	Corixidae			2
RB601	18/05/2017	RB	6	Hemiptera	Nepidae	Nepa	cinerea	1
RB602	18/05/2017	RB	6	Hemiptera	Notonectidae	Notonecta	glauca	1
RB603	18/05/2017	RB	6	Coleoptera	Elmidae			1
RB604	18/05/2017	RB	6	Zygoptera	Coenagrionidae			1
RB606	18/05/2017	RB	6	Diptera	Chironomidae			1
RB607	18/05/2017	RB	6	Crustacea	Asellidae	Asellus	aquaticus	3
RB608	18/05/2017	RB	6	Crustacea	Gammaridae	Gammarus	zaddachi	10
RB609	18/05/2017	RB	6	Crustacea	Corophidae	Corophium	curvispinum	15
RB610	18/05/2017	RB	6	Zygoptera	indet.			1
RB611	18/05/2017	RB	6	Hirudinea	Glossiphonidae	Placobdella	costata	1
RB612	18/05/2017	RB	6	Coleoptera	Elmidae			5
RB613	18/05/2017	RB	6	Hydracarina	Limnesiidae	Limnesia	sp.	2
RB614	18/05/2017	RB	6	Hemiptera	Corixidae			1
RB615	18/05/2017	RB	6	Plecoptera				1
RB616	18/05/2017	RB	6	Mollusca	Bithyniidae	Bithynia	tentaculata	9
RB617	18/05/2017	RB	6	Mollusca	Lymnaeidae	Lymnaea	stagnalis	7
RB618	18/05/2017	RB	6	Mollusca	Hydrobiidae	Potamopyrgus	jenkinsi	6
