TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	TAXA	NUMBERS
RB101	04/10/17	RB	1	Diptera	Chironomidae	Chironomidae	21
RB102	04/10/17	RB	1	Crustacea	Corophiidae	Corophium_sp.	7
RB104	04/10/17	RB	1	Hemiptera	Corixidae	Corixidae	2
RB105	04/10/17	RB	1	Hydracarina	Limnesiidae	Limnesia_sp.	2
RB106	04/10/17	RB	1	Ostracoda	Ostracoda	Ostracoda	2
RB108	04/10/17	RB	1	Crustacea	Daphniidae	Daphniidae	1
RB110	04/10/17	RB	1	Oligochaeta	Oligochaeta	Oligochaeta	35
RB113	04/10/17	RB	1	Mollusca	Sphaeriidae	Pisidium_sp.	8
RB114	04/10/17	RB	1	Mollusca	Valvatidae	Valvata_piscinalis	1
RB120	04/10/17	RB	1	Zygoptera	Coenagrionidae	Coenagrionidae	1
RB122	04/10/17	RB	1	Crustacea	Gammaridae	Gammaridae	1
RB124	04/10/17	RB	1	Diptera	Chydoridae	Chydoridae	1
RB127	04/10/17	RB	1	Mollusca	Cyrenidae	Corbicula_fluminea	1
RB201	04/10/17	RB	2	Mollusca	Planorbidae	Planorbidae	1
RB202	04/10/17	RB	2	Diptera	Chironomidae	Chironomidae	11
RB203	04/10/17	RB	2	Mollusca	Sphaeriidae	Sphaerium_sp.	1
RB204	04/10/17	RB	2	Crustacea	Gammaridae	Gammarus_sp.	3
RB206	04/10/17	RB	2	Mollusca	Hydrobiidae	Hydrobiidae	1
RB208	04/10/17	RB	2	Mollusca	Lymnaeidae	Radix_peregra	2
RB211	04/10/17	RB	2	Mollusca	Physiidae	Physella_acuta	1
RB213	04/10/17	RB	2	Mollusca	Lymnaeidae	Radix_auricularia	1
RB301	04/10/17	RB	3	Crustacea	Corophiidae	Corophium_sp.	39
RB303	04/10/17	RB	3	Mollusca	Valvatidae	Valvata_piscinalis	1
RB304	04/10/17	RB	3	Zygoptera	Coenagrionidae	Coenagrionidae	1
RB305	04/10/17	RB	3	Diptera	Chironomidae	Chironomidae	4
RB307	04/10/17	RB	3	Mollusca	Sphaeriidae	Sphaerium_sp.	2
RB308	04/10/17	RB	3	Crustacea	Gammaridae	Gammarus_zaddachi	11
RB401	04/10/17	RB	4	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	1
RB402	04/10/17	RB	4	Mollusca	Planorbidae	Planorbis_contortus	9
RB403	04/10/17	RB	4	Mollusca	Valvatidae	Valvata_cristata	5
RB404	04/10/17	RB	4	Crustacea	Gammaridae	Gammarus_zaddachi	13
RB405	04/10/17	RB	4	Crustacea	Cranogonyctidae	Crangonyx_sp.	5
RB406	04/10/17	RB	4	Crustacea	Cranogonyctidae	Crangonyx_floridanus	1
RB408	04/10/17	RB	4	Mollusca	Sphaeriidae	Pisidium_sp.	2
RB413	04/10/17	RB	4	Hirudinea	Glossiphoniidae	Glossiphonia_complanata	3
RB414	04/10/17	RB	4	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	2
RB415	04/10/17	RB	4	Crustacea	Cranogonyctidae	Crangonyx_pseudogracilis	11
RB501	04/10/17	RB	5	Crustacea	Gammaridae	Gammarus_zaddachi	12
RB502	04/10/17	RB	5	Diptera	Chironomidae	Chironomidae	6
RB504	04/10/17	RB	5	Crustacea	Corophiidae	Corophium_sp.	2
RB506	04/10/17	RB	5	Ephemeroptera	Caenidae	Caenis_sp.	1
RB507	04/10/17	RB	5	Mollusca	Lymnaeidae	Lymnaea_stagnalis	1
RB508	04/10/17	RB	5	Mollusca	Hydrobiidae	Hydrobiidae	1
RB511	04/10/17	RB	5	Mollusca	Hydrobiidae	Bithynia_tentaculata	1
RB514	04/10/17	RB	5	Trichoptera	Trichoptera	Trichoptera	1
RB515	04/10/17	RB	5	Zygoptera	Coenagrionidae	Coenagrionidae	1
RB516	04/10/17	RB	5	Crustacea	Asellidae	Asellus_aquaticus	2
RB517	04/10/17	RB	5	Mollusca	Sphaeriidae	Sphaerium_sp.	3
RB518	04/10/17	RB	5	Mollusca	Lymnaeidae	Lymnaea_stagnalis	1
RB601	04/10/17	RB	6	Hirudinea	Glossiphoniidae	Glossiphonia_complanata	1
RB602	04/10/17	RB	6	Ephemeroptera	Caenidae	Caenis_sp.	1
RB603	04/10/17	RB	6	Mollusca	Sphaeriidae	Pisidium_sp.	1
RB604	04/10/17	RB	6	Mollusca	Physiidae	Physa_fontinalis	1
RB605	04/10/17	RB	6	Mollusca	Sphaeriidae	Sphaerium_sp.	1
RB606	04/10/17	RB	6	Mollusca	Hydrobiidae	Bithynia_sp.	1
RB607	04/10/17	RB	6	Oligochaeta	Oligochaeta	Oligochaeta	4
RB609	04/10/17	RB	6	Crustacea	Corophiidae	Corophium_sp.	67
RB610	04/10/17	RB	6	Mollusca	Cyrenidae	Corbicula_fluminea	1
RB611	04/10/17	RB	6	Mollusca	Lymnaeidae	Lymnaea_truncatula	2
RB614	04/10/17	RB	6	Crustacea	Gammaridae	Gammarus_zaddachi	45
RB615	04/10/17	RB	6	Diptera	Chironomidae	Chironomidae	1
RB616	04/10/17	RB	6	Mollusca	Cyrenidae	Corbicula_fluminea	1
RB617	04/10/17	RB	6	Crustacea	Corophiidae	Corophium_sp.	2
