TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	GENUS	SPECIES	NUMBERS
WB101	18/05/2017	WB	1	Diptera	Chironomidae			8
WB103	18/05/2017	WB	1	Zygoptera	Coeangrionidae	Erythromma	najas	1
WB104	18/05/2017	WB	1	Crustacea	Gammaridae	Dikerogammarus	villosus	5
WB105	18/05/2017	WB	1	Crustacea	Gammaridae	Dikerogammarus	sp.	2
WB106	18/05/2017	WB	1	Crustacea	Gammaridae	Dikerogammarus	villosus	8
WB107	18/05/2017	WB	1	Crustacea	Gammaridae	Dikerogammarus	villosus	4
WB108	18/05/2017	WB	1	Diptera	Chironomidae			2
WB109	18/05/2017	WB	1	Ephemeroptera	Caenidae	Caenis	luctuosa	1
WB110	18/05/2017	WB	1	Mollusca	Neritidae	Theodoxus	fluviatilis	3
WB111	18/05/2017	WB	1	Mollusca	Dreissenidae	Dreissena	polymorpha	1
WB112	18/05/2017	WB	1	Mollusca	Lymneidae	Lymnea	auricolaria	1
WB201	18/05/2017	WB	2	Crustacea	Corophidae	Corophium	curvispinum	2
WB202	18/05/2017	WB	2	Crustacea	Gammaridae	Dikerogammarus	villosus	14
WB203	18/05/2017	WB	2	Mollusca	Neritidae	Theodoxus	fluviatilis	1
WB205	18/05/2017	WB	2	Mollusca	Dreissenidae	Dreissena	polymorpha	1
WB206	18/05/2017	WB	2	Diptera	Chironomidae			2
WB301	18/05/2017	WB	3	Crustacea	Gammaridae	Dikerogammarus	villosus	40
WB302	18/05/2017	WB	3	Mollusca	Dreissenidae	Dreissena	polymorpha	2
WB303	18/05/2017	WB	3	Diptera	Chironomidae			4
WB304	18/05/2017	WB	3	Diptera	Ceratopogonidae			9
WB306	18/05/2017	WB	3	Nematoda				3
WB307	18/05/2017	WB	3	Hemiptera	Corixidae	Micronecta	sp.	10
WB309	18/05/2017	WB	3	Hemiptera	Velliidae			1
WB310	18/05/2017	WB	3	Coleoptera	Dytiscidae			1
WB401	18/05/2017	WB	4	Crustacea	Gammaridae	Dikerogammarus	villosus	40
WB402	18/05/2017	WB	4	Diptera	Chironomidae			2
WB403	18/05/2017	WB	4	Diptera	Ceratopogonidae			13
WB405	18/05/2017	WB	4	Hemiptera	Corixidae	Corixa	sp.	1
WB409	18/05/2017	WB	4	Crustacea	Corophidae	Corophium	curvispinum	1
WB410	18/05/2017	WB	4	Crustacea	Gammaridae	Dikerogammarus	villosus	61
WB411	18/05/2017	WB	4	Crustacea	Gammaridae	Dikerogammarus	villosus	6
WB501	18/05/2017	WB	5	Crustacea	Gammaridae	Dikerogammarus	villosus	53
WB502	18/05/2017	WB	5	Diptera	Chironomidae			10
WB503	18/05/2017	WB	5	Hemiptera	Corixidae	Micronecta	sp.	10
WB505	18/05/2017	WB	5	Diptera	Chironomidae	pupa		1
WB506	18/05/2017	WB	5	Diptera	Brachycera			1
WB507	18/05/2017	WB	5	Diptera	Ceratopogonidae			3
WB601	18/05/2017	WB	6	Crustacea	Gammaridae	Dikerogammarus	villosus	68
WB602	18/05/2017	WB	6	Nematomorpha				2
WB603	18/05/2017	WB	6	Diptera	Chironomidae			10
WB604	18/05/2017	WB	6	Hemiptera	Corixidae	Micronecta	sp.	143
WB605	18/05/2017	WB	6	Coleoptera	Dytiscidae	Platambus	sp.	1
WB606	18/05/2017	WB	6	Diptera	Nematocera	pupa		1
WB607	18/05/2017	WB	6	Mollusca		Sphaerium	sp.	1
WB608	18/05/2017	WB	6	Araneae				1
WB610	18/05/2017	WB	6	Mollusca	Dreissenidae	Dreissena	polymorpha	1
WB612	18/05/2017	WB	6	Ephemeroptera	Baetidae	Cloeon	dipterum	1
WB613	18/05/2017	WB	6	Mollusca	Lymneidae	Lymnea	sp.	1
WB615	18/05/2017	WB	6	Diptera	Ceratopogonidae			1
WB616	18/05/2017	WB	6	Hemiptera	Pleidae	Plea	sp.	1
WB617	18/05/2017	WB	6	Hemiptera	Notonectidae	Notonecta	sp.	2
WB618	18/05/2017	WB	6	Crustacea	Gammaridae	Dikerogammarus	villosus	69
